epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
177,0.2727341949939728,0.2606365978717804,0.9875,1.0
178,0.27004545331001284,0.2646026313304901,0.9875,1.0
179,0.27577569484710696,0.27664774656295776,0.975,1.0
180,0.28926007747650145,0.269806832075119,0.975,1.0
181,0.26950121521949766,0.2594432234764099,0.9875,1.0
182,0.2669375777244568,0.26159530878067017,0.975,1.0
183,0.35385177135467527,0.48317471146583557,0.8125,0.6
184,0.4088699698448181,0.3535303771495819,0.6875,0.8
185,0.35692221522331236,0.3616335391998291,0.7875,0.8
186,0.3298192322254181,0.3200732171535492,0.8,0.9
187,0.3167360186576843,0.2845548391342163,0.9125,1.0
188,0.2900273263454437,0.2777259647846222,0.975,1.0
189,0.28686235249042513,0.28914400935173035,0.975,1.0
190,0.299979966878891,0.2776497006416321,0.95,1.0
191,0.304744815826416,0.2853619158267975,0.925,1.0
192,0.2915077805519104,0.2679841220378876,0.9625,1.0
193,0.26906644105911254,0.26576170325279236,0.9875,1.0
194,0.26487024426460265,0.2472912222146988,0.975,1.0
195,0.2501141011714935,0.2502276301383972,0.9875,1.0
196,0.25077947974205017,0.2450818419456482,0.9875,1.0
197,0.24827049672603607,0.2449314147233963,0.9875,1.0
198,0.24743696451187133,0.2432229071855545,0.9875,1.0
199,0.2448646068572998,0.23888276517391205,0.9875,1.0
200,0.24400322139263153,0.2397521585226059,0.9875,1.0
